LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
32m         Normal    RELOAD              pod/ingress-nginx-controller-b954bfd68-wncx6     NGINX reload triggered due to a change in configuration
31m         Normal    RollbackSucceeded   helmrelease/ingress-nginx                        Helm rollback to previous release ingress-nginx/ingress-nginx.v1 with chart ingress-nginx@4.11.3 succeeded
31m         Normal    Scheduled           pod/ingress-nginx-admission-create-4w5kg         Successfully assigned ingress-nginx/ingress-nginx-admission-create-4w5kg to master1
31m         Normal    SuccessfulCreate    job/ingress-nginx-admission-create               Created pod: ingress-nginx-admission-create-4w5kg
31m         Normal    Pulled              pod/ingress-nginx-admission-create-4w5kg         Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v1.4.4@sha256:a9f03b34a3cbfbb26d103a14046ab2c5130a80c3d69d526ff8063d2b37b9fd3f" already present on machine
31m         Normal    Created             pod/ingress-nginx-admission-create-4w5kg         Created container: create
31m         Normal    Started             pod/ingress-nginx-admission-create-4w5kg         Started container create
31m         Normal    Killing             pod/ingress-nginx-controller-b954bfd68-wncx6     Stopping container controller
31m         Normal    Scheduled           pod/ingress-nginx-controller-tmmrq               Successfully assigned ingress-nginx/ingress-nginx-controller-tmmrq to master1
31m         Normal    SuccessfulCreate    daemonset/ingress-nginx-controller               Created pod: ingress-nginx-controller-tmmrq
31m         Normal    Completed           job/ingress-nginx-admission-create               Job completed
31m         Normal    Started             pod/ingress-nginx-controller-tmmrq               Started container controller
31m         Normal    Created             pod/ingress-nginx-controller-tmmrq               Created container: controller
31m         Normal    Pulled              pod/ingress-nginx-controller-tmmrq               Container image "registry.k8s.io/ingress-nginx/controller:v1.11.3@sha256:d56f135b6462cfc476447cfe564b83a45e8bb7da2774963b00d12161112270b7" already present on machine
31m         Normal    CREATE              configmap/ingress-nginx-controller               ConfigMap ingress-nginx/ingress-nginx-controller
31m         Normal    RELOAD              pod/ingress-nginx-controller-tmmrq               NGINX reload triggered due to a change in configuration
31m         Warning   Unhealthy           pod/ingress-nginx-controller-b954bfd68-wncx6     Readiness probe failed: HTTP probe failed with statuscode: 500
29m         Normal    Killing             pod/ingress-nginx-controller-tmmrq               Stopping container controller
29m         Warning   Unhealthy           pod/ingress-nginx-controller-tmmrq               Readiness probe failed: HTTP probe failed with statuscode: 500
27m         Warning   UpgradeFailed       helmrelease/ingress-nginx                        Helm upgrade failed for release ingress-nginx/ingress-nginx with chart ingress-nginx@4.11.3: services "ingress-nginx-controller-admission" not found...
27m         Normal    ScalingReplicaSet   deployment/ingress-nginx-controller              Scaled up replica set ingress-nginx-controller-5b97d9c4df to 1
27m         Normal    Scheduled           pod/ingress-nginx-controller-5b97d9c4df-n6926    Successfully assigned ingress-nginx/ingress-nginx-controller-5b97d9c4df-n6926 to master1
27m         Normal    SuccessfulCreate    replicaset/ingress-nginx-controller-5b97d9c4df   Created pod: ingress-nginx-controller-5b97d9c4df-n6926
27m         Normal    Started             pod/ingress-nginx-controller-5b97d9c4df-n6926    Started container controller
27m         Normal    CREATE              configmap/ingress-nginx-controller               ConfigMap ingress-nginx/ingress-nginx-controller
27m         Normal    Created             pod/ingress-nginx-controller-5b97d9c4df-n6926    Created container: controller
27m         Normal    Pulled              pod/ingress-nginx-controller-5b97d9c4df-n6926    Container image "registry.k8s.io/ingress-nginx/controller:v1.11.3@sha256:d56f135b6462cfc476447cfe564b83a45e8bb7da2774963b00d12161112270b7" already present on machine
26m         Normal    InstallSucceeded    helmrelease/ingress-nginx                        Helm install succeeded for release ingress-nginx/ingress-nginx.v1 with chart ingress-nginx@4.11.3
17m         Normal    RELOAD              pod/ingress-nginx-controller-5b97d9c4df-n6926    NGINX reload triggered due to a change in configuration
