NAME              STATUS   AGE
arc-runners       Active   31h
arc-systems       Active   31h
cert-manager      Active   7h22m
default           Active   5d9h
flux-system       Active   5d9h
gha-runners       Active   2d1h
grafana           Active   38h
ingress-nginx     Active   5d9h
kube-flannel      Active   5d9h
kube-node-lease   Active   5d9h
kube-public       Active   5d9h
kube-system       Active   5d9h
logging           Active   34h
longhorn-system   Active   2d7h
observability     Active   2d3h
whoami            Active   5d9h
